fp_ampl1;fp_ampl2;fp_ampl3;std_noise;CIRpower;RXPACC;fpindex;RX_power;FP_power;Pd;Pr;estimated_range;real_rng;label;location_from;location_to;msid;bias;rng_wo_bias;error;error_nobias;env;
801;903;576;32;1023,134717;101;742;-80,552;-99,3;18,748;1,232744066;9,35;7,621;1;1_hw;hw;3;0,023546803;9,326453197;1,705453197;1,729;1_hwhw;
717;937;660;36;1118,234331;101;742;-80,166;-99,207;19,041;1,237519647;8,593;7,621;1;1_hw;hw;3;0,017155509;8,575844491;0,954844491;0,972;1_hwhw;
5939;6559;5343;36;1110,025156;101;753;-80,198;-81,539;1,341;1,016721115;8,6;7,621;1;1_hw;hw;3;0,017217989;8,582782011;0,961782011;0,979;1_hwhw;
823;851;493;32;1003,073648;101;745;-80,638;-99,665;19,027;1,235955753;8,663;7,621;1;1_hw;hw;3;0,017777351;8,645222649;1,024222649;1,042;1_hwhw;
816;935;677;32;970,1364479;101;743;-80,783;-98,819;18,036;1,223264796;9,356;7,621;1;1_hw;hw;3;0,02359465;9,33240535;1,71140535;1,735;1_hwhw;
923;911;594;36;1085,007703;101;740;-80,297;-98,741;18,444;1,229697249;8,595;7,621;1;1_hw;hw;3;0,017173367;8,577826633;0,956826633;0,974;1_hwhw;
747;924;879;32;1115,1488;101;741;-80,178;-98,433;18,255;1,22768091;9,337;7,621;1;1_hw;hw;3;0,023442988;9,313557012;1,692557012;1,716;1_hwhw;
877;835;594;32;1111,047998;101;741;-80,194;-99,227;19,033;1,237336958;8,591;7,621;1;1_hw;hw;3;0,017137645;8,573862355;0,952862355;0,97;1_hwhw;
785;958;727;32;1113,096511;101;742;-80,186;-98,682;18,496;1,230663707;8,602;7,621;1;1_hw;hw;3;0,017235829;8,584764171;0,963764171;0,981;1_hwhw;
5529;6352;5301;40;1048,172645;101;751;-80,447;-81,869;1,422;1,017676234;8,602;7,621;1;1_hw;hw;3;0,017235829;8,584764171;0,963764171;0,981;1_hwhw;
739;924;854;32;1107,982297;101;744;-80,206;-98,544;18,338;1,228636262;8,593;7,621;1;1_hw;hw;3;0,017155509;8,575844491;0,954844491;0,972;1_hwhw;
781;989;730;36;1054,952295;101;741;-80,419;-98,561;18,142;1,225593454;8,622;7,621;1;1_hw;hw;3;0,017413927;8,604586073;0,983586073;1,001;1_hwhw;
875;855;596;32;1068,151418;101;746;-80,365;-99,15;18,785;1,233746034;8,597;7,621;1;1_hw;hw;3;0,01719122;8,57980878;0,95880878;0,976;1_hwhw;
859;936;597;36;1098,077066;101;739;-80,245;-98,88;18,635;1,232226307;9,335;7,621;1;1_hw;hw;3;0,023426999;9,311573001;1,690573001;1,714;1_hwhw;
921;867;516;36;1071,106911;101;743;-80,353;-99,116;18,763;1,23350715;9,346;7,621;1;1_hw;hw;3;0,023514881;9,322485119;1,701485119;1,725;1_hwhw;
914;911;602;32;1092,025604;101;741;-80,269;-98,756;18,487;1,230313072;8,595;7,621;1;1_hw;hw;3;0,017173367;8,577826633;0,956826633;0,974;1_hwhw;
714;943;685;36;1105,943196;101;742;-80,214;-99,112;18,898;1,235594784;9,335;7,621;1;1_hw;hw;3;0,023426999;9,311573001;1,690573001;1,714;1_hwhw;
710;903;597;28;1065,20408;101;742;-80,377;-99,583;19,206;1,238948953;8,6;7,621;1;1_hw;hw;3;0,017217989;8,582782011;0,961782011;0,979;1_hwhw;
832;874;681;28;1135,096596;101;747;-80,101;-98,993;18,892;1,235852237;8,636;7,621;1;1_hw;hw;3;0,017538276;8,618461724;0,997461724;1,015;1_hwhw;
878;963;678;32;1052,041378;101;748;-80,431;-98,486;18,055;1,224478124;8,624;7,621;1;1_hw;hw;3;0,017431708;8,606568292;0,985568292;1,003;1_hwhw;
1530;1375;796;24;635,0864126;101;745;-82,623;-94,955;12,332;1,14925626;10,796;9,5;1;1_hw;1_hw;5;0,033959514;10,76204049;1,262040486;1,296;1_hw1_hw;
1519;1458;1043;24;596,9429415;101;748;-82,892;-94,406;11,514;1,138903634;10,801;9,5;1;1_hw;1_hw;5;0,033991939;10,76700806;1,267008061;1,301;1_hw1_hw;
1509;1358;843;28;629,9887894;101;746;-82,658;-94,985;12,327;1,14913257;10,816;9,5;1;1_hw;1_hw;5;0,034089079;10,78191092;1,281910921;1,316;1_hw1_hw;
1334;1366;923;24;794,0225223;101;745;-81,653;-95,296;13,643;1,167085104;10,812;9,5;1;1_hw;1_hw;5;0,034063195;10,77793681;1,277936805;1,312;1_hw1_hw;
1286;1323;917;28;749,0879678;101;743;-81,906;-95,547;13,641;1,166544575;10,832;9,5;1;1_hw;1_hw;5;0,03419247;10,79780753;1,29780753;1,332;1_hw1_hw;
1436;1150;614;28;782,9478237;101;745;-81,714;-96,072;14,358;1,175710405;10,792;9,5;1;1_hw;1_hw;5;0,033933558;10,75806644;1,258066442;1,292;1_hw1_hw;
1350;1542;1274;28;618,0631077;101;748;-82,741;-94,174;11,433;1,13817817;10,771;9,5;1;1_hw;1_hw;5;0,033797048;10,73720295;1,237202952;1,271;1_hw1_hw;
1519;1238;779;24;663,9460955;101;748;-82,43;-95,345;12,915;1,156678394;10,531;9,5;1;1_hw;1_hw;5;0,032208055;10,49879194;0,998791945;1,031;1_hw1_hw;
130;399;248;24;692,9993404;101;740;-82,244;-108,067;25,823;1,313980351;10,293;9,5;1;1_hw;1_hw;5;0,030578339;10,26242166;0,762421661;0,793;1_hw1_hw;
72;403;249;24;661,0477346;101;741;-82,449;-108,216;25,767;1,312520467;10,807;9,5;1;1_hw;1_hw;5;0,03403082;10,77296918;1,27296918;1,307;1_hw1_hw;
74;426;329;24;592,0151508;101;740;-82,928;-107,125;24,197;1,291783234;10,568;9,5;1;1_hw;1_hw;5;0,032456532;10,53554347;1,035543468;1,068;1_hw1_hw;
1263;1502;1253;28;651,077701;101;750;-82,515;-94,485;11,97;1,145064534;10,797;9,5;1;1_hw;1_hw;5;0,033966001;10,763034;1,263033999;1,297;1_hw1_hw;
1543;1390;863;24;644,9600601;101;746;-82,556;-94,786;12,23;1,148141867;10,854;9,5;1;1_hw;1_hw;5;0,034334257;10,81966574;1,319665743;1,354;1_hw1_hw;
276;325;419;20;582,0131823;101;742;-83,002;-106,295;23,293;1,280631792;10,812;9,5;1;1_hw;1_hw;5;0,034063195;10,77793681;1,277936805;1,312;1_hw1_hw;
255;377;305;24;533,0068878;101;745;-83,384;-107,052;23,668;1,283843423;10,816;9,5;1;1_hw;1_hw;5;0,034089079;10,78191092;1,281910921;1,316;1_hw1_hw;
132;419;288;20;608,0409394;101;744;-82,812;-107,418;24,606;1,297130851;10,812;9,5;1;1_hw;1_hw;5;0,034063195;10,77793681;1,277936805;1,312;1_hw1_hw;
485;159;337;20;574,027662;101;743;-83,062;-106,096;23,034;1,277310924;10,305;9,5;1;1_hw;1_hw;5;0,03066183;10,27433817;0,77433817;0,805;1_hw1_hw;
1479;1610;1208;28;578,0066317;101;746;-83,032;-93,875;10,843;1,130588207;10,774;9,5;1;1_hw;1_hw;5;0,033816574;10,74018343;1,240183426;1,274;1_hw1_hw;
480;197;332;20;575,0860346;101;741;-83,054;-106,035;22,981;1,276699497;10,779;9,5;1;1_hw;1_hw;5;0,033849099;10,7451509;1,245150901;1,279;1_hw1_hw;
