fp_ampl1;fp_ampl2;fp_ampl3;std_noise;CIRpower;RXPACC;fpindex;RX_power;FP_power;Pd;Pr;estimated_range;real_rng;label;location_from;location_to;msid;bias;rng_wo_bias;error;error_nobias;env
2089;2572;1621;20;361,0212963;101;747;-85,076;-90,488;5,412;1,06361371;5,104;4,267;1;esl;hw;6;-0,024649405;5,128649405;0,861649405;0,837;eslhw
1601;2663;1935;20;373,0206043;101;748;-84,934;-90,555;5,621;1,066180799;5,106;4,267;1;esl;hw;6;-0,024617567;5,130617567;0,863617567;0,839;eslhw
1371;2727;2076;20;373,0206043;101;743;-84,934;-90,482;5,548;1,065321308;5,11;4,267;1;esl;hw;6;-0,024553926;5,134553926;0,867553926;0,843;eslhw
929;2447;2255;24;391,9519426;101;745;-84,719;-91,057;6,338;1,074812026;5,13;4,267;1;esl;hw;6;-0,024236414;5,154236414;0,887236414;0,863;eslhw
1615;2553;1752;20;382,0610996;101;748;-84,83;-90,964;6,134;1,072309325;5,114;4,267;1;esl;hw;6;-0,024490331;5,138490331;0,871490331;0,847;eslhw
1820;2594;1639;20;387,0194766;101;750;-84,774;-90,778;6,004;1,070823602;5,13;4,267;1;esl;;6;-0,024236414;5,154236414;0,887236414;0,863;eslhw
1763;2413;1674;20;381,0068829;101;746;-84,842;-91,132;6,29;1,074137809;5,1;4,267;1;esl;hw;6;-0,024713116;5,124713116;0,857713116;0,833;eslhw
917;2614;2212;24;373,9666046;101;745;-84,923;-90,834;5,911;1,06960423;5,138;4,267;1;esl;hw;6;-0,024109733;5,162109733;0,895109733;0,871;eslhw
1101;2414;2165;24;384,9752603;101;750;-84,797;-91,134;6,337;1,074731417;5,13;4,267;1;esl;hw;6;-0,024236414;5,154236414;0,887236414;0,863;eslhw
919;2383;2081;24;377,0794121;101;746;-84,887;-91,47;6,583;1,077550155;5,1;4,267;1;esl;hw;6;-0,024713116;5,124713116;0,857713116;0,833;eslhw
1832;2485;1731;20;382,0610996;101;750;-84,83;-90,847;6,017;1,070930095;5,111;4,267;1;esl;hw;6;-0,024538023;5,135538023;0,868538023;0,844;eslhw
1983;2396;1506;20;377,9486699;101;745;-84,877;-91,055;6,178;1,072787681;5,094;4,267;1;esl;hw;6;-0,02480877;5,11880877;0,85180877;0,827;eslhw
941;2565;2246;20;365,9593279;101;744;-85,017;-90,854;5,837;1,068656857;5,151;4,267;1;esl;hw;6;-0,023904268;5,174904268;0,907904268;0,884;eslhw
226;2333;2531;20;362,0202144;101;747;-85,064;-91,07;6,006;1,070605662;5,123;4,267;1;esl;hw;6;-0,024347412;5,147347412;0,880347412;0,856;eslhw
1311;2621;2046;20;354,024095;101;743;-85,161;-90,762;5,601;1,065769542;5,116;4,267;1;esl;hw;6;-0,024458551;5,140458551;0,873458551;0,849;eslhw
1744;2472;1715;20;364,9495406;101;750;-85,029;-91;5,971;1,0702231;5,114;4,267;1;esl;hw;6;-0,024490331;5,138490331;0,871490331;0,847;eslhw
85;2240;2563;20;365,9593279;101;749;-85,017;-91,184;6,167;1,072538433;5,098;4,267;1;esl;hw;6;-0,024744989;5,122744989;0,855744989;0,831;eslhw
918;2605;2239;20;360,0251345;101;746;-85,088;-90,808;5,72;1,06722452;5,108;4,267;1;esl;hw;6;-0,024585741;5,132585741;0,865585741;0,841;eslhw
2031;2657;1764;24;352,9659577;101;747;-85,174;-90,274;5,1;1,059877427;5,085;4,267;1;esl;hw;6;-0,024952446;5,109952446;0,842952446;0,818;eslhw
1614;2523;1710;20;366,9719091;101;749;-85,005;-91,072;6,067;1,071372272;5,104;4,267;1;esl;hw;6;-0,024649405;5,128649405;0,861649405;0,837;eslhw
1305;2741;2123;24;361,0212963;101;750;-85,076;-90,451;5,375;1,063178805;5,124;4,267;1;esl;hw;6;-0,024331547;5,148331547;0,881331547;0,857;eslhw
1289;2694;2071;24;367,9872922;101;745;-84,993;-90,617;5,624;1,066170155;5,131;4,267;1;esl;hw;6;-0,024220569;5,155220569;0,888220569;0,864;eslhw
1669;2590;1807;24;377,9486699;101;744;-84,877;-90,768;5,891;1,069406317;5,119;4,267;1;esl;hw;6;-0,024410903;5,143410903;0,876410903;0,852;eslhw
843;2578;2378;20;365,9593279;101;750;-85,017;-90,683;5,666;1,066645494;5,125;4,267;1;esl;hw;6;-0,024315684;5,149315684;0,882315684;0,858;eslhw
1001;2624;2135;20;375,0013414;101;751;-84,911;-90,876;5,965;1,070250026;5,123;4,267;1;esl;hw;6;-0,024347412;5,147347412;0,880347412;0,856;eslhw
551;2458;2465;20;355,9859202;101;747;-85,137;-90,884;5,747;1,067502966;5,131;4,267;1;esl;hw;6;-0,024220569;5,155220569;0,888220569;0,864;eslhw
1600;2658;1964;20;349,0059421;101;747;-85,223;-90,528;5,305;1,062248454;5,109;4,267;1;esl;hw;6;-0,024569832;5,133569832;0,866569832;0,842;eslhw
119;2113;2608;24;366,9719091;101;751;-85,005;-91,303;6,298;1,074089759;5,094;4,267;1;esl;hw;6;-0,02480877;5,11880877;0,85180877;0,827;eslhw
1202;2600;2068;24;373,0206043;101;746;-84,934;-90,863;5,929;1,069807144;5,125;4,267;1;esl;hw;6;-0,024315684;5,149315684;0,882315684;0,858;eslhw
1654;2529;1887;20;366,9719091;101;746;-85,005;-90,791;5,786;1,068066584;5,08;4,267;1;esl;hw;6;-0,025032368;5,105032368;0,838032368;0,813;eslhw
324;2352;2497;20;344,0589196;101;749;-85,285;-91,081;5,796;1,067960368;5,123;4,267;1;esl;hw;6;-0,024347412;5,147347412;0,880347412;0,856;eslhw
1729;2544;1647;24;373,9666046;101;747;-84,923;-90,972;6,049;1,071229231;5,094;4,267;1;esl;hw;6;-0,02480877;5,11880877;0,85180877;0,827;eslhw
80;2206;2383;24;377,9486699;101;745;-84,877;-91,593;6,716;1,079126265;5,116;4,267;1;esl;hw;6;-0,024458551;5,140458551;0,873458551;0,849;eslhw
298;2409;2475;20;371,9913329;101;744;-84,946;-91,028;6,082;1,071598427;5,098;4,267;1;esl;hw;6;-0,024744989;5,122744989;0,855744989;0,831;eslhw
1576;2725;1963;20;358,9490608;101;745;-85,101;-90,439;5,338;1,062725467;5,114;4,267;1;esl;hw;6;-0,024490331;5,138490331;0,871490331;0,847;eslhw
733;2520;2308;24;370,9649016;101;744;-84,958;-90,957;5,999;1,070611361;5,111;4,267;1;esl;hw;6;-0,024538023;5,135538023;0,868538023;0,844;eslhw
829;1156;805;24;162,97944;101;739;-88,53;-97,558;9,028;1,101976731;6,419;5,608;1;esl;hw;10;-0,005981505;6,424981505;0,816981505;0,811;eslhw
866;1271;913;28;158,9398582;101;746;-88,639;-96,776;8,137;1,091799321;6,378;5,608;1;esl;hw;10;-0,006501445;6,384501445;0,776501445;0,77;eslhw
842;1079;748;24;155,9670369;101;739;-88,721;-97,965;9,244;1,104191792;6,382;5,608;1;esl;hw;10;-0,00645056;6,38845056;0,78045056;0,774;eslhw
868;1223;856;24;163,9958361;101;747;-88,503;-97,081;8,578;1,096923268;6,486;5,608;1;esl;hw;10;-0,005139565;6,491139565;0,883139565;0,878;eslhw
667;1219;1105;24;165,9330215;101;740;-88,452;-96,84;8,388;1,094831095;6,458;5,608;1;esl;hw;10;-0,005490262;6,463490262;0,855490262;0,85;eslhw
840;1174;815;20;157,9911722;101;747;-88,665;-97,436;8,771;1,098922912;6,415;5,608;1;esl;hw;10;-0,006032072;6,421032072;0,813032072;0,807;eslhw
326;931;1116;24;145,0216431;101;738;-89,037;-98,365;9,328;1,104765435;6,415;5,608;1;esl;hw;10;-0,006032072;6,421032072;0,813032072;0,807;eslhw
948;1226;758;24;143,9901623;101;736;-89,068;-97,089;8,021;1,09005479;6,437;5,608;1;esl;hw;10;-0,005754375;6,442754375;0,834754375;0,829;eslhw
