fp_ampl1;fp_ampl2;fp_ampl3;std_noise;CIRpower;RXPACC;fpindex;RX_power;FP_power;Pd;Pr;estimated_range;real_rng;label;location_from;location_to;msid;bias;rng_wo_bias;error;error_nobias;env;
1404;1657;1179;36;1125,985561;101;743;-80,136;-93,968;13,832;1,172606569;8,045;6,269;1;hw;hw;0;0,012051092;8,032948908;1,763948908;1,776;hwhw;
1467;1683;1035;40;1109,003256;101;747;-80,202;-94,004;13,802;1,172090472;8,006;6,269;1;hw;hw;0;0,011671138;7,994328862;1,725328862;1,737;hwhw;
1068;1721;1627;40;1140,073422;101;751;-80,082;-93,533;13,451;1,167965336;7,945;6,269;1;hw;hw;0;0,011072209;7,933927791;1,664927791;1,676;hwhw;
1255;1534;1274;40;1149,033845;101;745;-80,048;-94,382;14,334;1,179067559;7,983;6,269;1;hw;hw;0;0,01144598;7,97155402;1,70255402;1,714;hwhw;
650;849;589;40;967,0141328;101;748;-80,797;-100,093;19,296;1,238820748;7,889;6,269;1;hw;hw;0;0,010517334;7,878482666;1,609482666;1,62;hwhw;
676;1136;1712;52;1090,015871;101;750;-80,277;-95,125;14,848;1,184959577;7,939;6,269;1;hw;hw;0;0,01101299;7,92798701;1,65898701;1,67;hwhw;
393;1233;1966;44;1143,227917;101;747;-80,07;-94,391;14,321;1,178856001;8,371;6,269;1;hw;hw;0;0,015139129;8,355860871;2,086860871;2,102;hwhw;
1380;1676;1258;44;1114,122183;101;744;-80,182;-93,835;13,653;1,170275124;7,937;6,269;1;hw;hw;0;0,010993238;7,926006762;1,657006762;1,668;hwhw;
829;1519;1189;48;1143,227917;101;749;-80,07;-95,383;15,313;1,19124516;7,926;6,269;1;hw;hw;0;0,010884491;7,915115509;1,646115509;1,657;hwhw;
1760;1360;880;48;1086,007492;101;745;-80,293;-94,251;13,958;1,173838317;7,856;6,269;1;hw;hw;0;0,010188072;7,845811928;1,576811928;1,587;hwhw;
676;1197;818;44;1106,962277;101;743;-80,21;-97,745;17,535;1,218613639;7,922;6,269;1;hw;hw;0;0,010844901;7,911155099;1,642155099;1,653;hwhw;
453;945;830;40;1092,025604;101;746;-80,269;-99,304;19,035;1,237140116;7,879;6,269;1;hw;hw;0;0,010417737;7,868582263;1,599582263;1,61;hwhw;
852;1317;1015;40;1080,022545;101;750;-80,317;-96,397;16,08;1,200206681;7,983;6,269;1;hw;hw;0;0,01144598;7,97155402;1,70255402;1,714;hwhw;
