,channel,bitrate,preamble,prf,tx_gain,T_N,T_W,T_E,T_Floor,antennaTypeAnchor,antennaTypeTag,x_tag,y_tag,z_tag,x_anchor,y_anchor,z_anchor,anchorNumber,LOS,RXPACC,fpindex,pkindex,fp_ampl1,fp_ampl2,fp_ampl3,pkpathampl,std_noise,RX_power,FP_power,LDEthreshold,t1,t2,t3,t4,t5,timestamp,estimated_range,actual_range,error,location_ID,newlabel,newlabeli,fpi,loc_tag,NLOS
0,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1518.0,46350.0,-,1958.0,3287.0,3313.0,-,88.0,-91.274,-111.719,-,-,-,-,-,-,2707697285.0,4485.0,4704.247761332304,-219,10,good,1,724,10-10,NLOS
1,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1517.0,47379.0,-,2098.0,3784.0,3740.0,-,96.0,-91.918,-110.786,-,-,-,-,-,-,3105933948.0,4485.0,4704.247761332304,-219,10,good,1,740,10-10,NLOS
2,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1515.0,46442.0,-,1098.0,3806.0,2776.0,-,80.0,-91.628,-111.343,-,-,-,-,-,-,1890099247.0,4490.0,4704.247761332304,-214,10,good,1,725,10-10,NLOS
3,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1518.0,46533.0,-,3404.0,2380.0,3918.0,-,84.0,-91.529,-110.767,-,-,-,-,-,-,1875743703.0,4504.0,4704.247761332304,-200,10,good,1,727,10-10,NLOS
4,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1516.0,46779.0,-,1852.0,3659.0,2114.0,-,88.0,-91.633,-112.927,-,-,-,-,-,-,1654501608.0,4527.0,4704.247761332304,-177,10,good,1,730,10-10,NLOS
5,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1517.0,46982.0,-,3812.0,2628.0,4178.0,-,92.0,-91.698,-109.539,-,-,-,-,-,-,3704800800.0,4536.0,4704.247761332304,-168,10,good,1,734,10-10,NLOS
6,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1517.0,46403.0,-,3500.0,2746.0,4064.0,-,96.0,-91.604,-109.24,-,-,-,-,-,-,2194258027.0,4490.0,4704.247761332304,-214,10,good,1,725,10-10,NLOS
7,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1518.0,46846.0,-,2548.0,4173.0,2306.0,-,88.0,-91.934,-110.291,-,-,-,-,-,-,455678121.0,4527.0,4704.247761332304,-177,10,good,1,731,10-10,NLOS
8,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1517.0,46743.0,-,1287.0,3729.0,3030.0,-,108.0,-91.918,-111.574,-,-,-,-,-,-,2563854589.0,4504.0,4704.247761332304,-200,10,good,1,730,10-10,NLOS
9,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1516.0,46613.0,-,1554.0,3222.0,3080.0,-,92.0,-91.288,-111.125,-,-,-,-,-,-,3850162048.0,4480.0,4704.247761332304,-224,10,good,1,728,10-10,NLOS
10,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1517.0,46531.0,-,3992.0,2312.0,4351.0,-,72.0,-90.12,-109.683,-,-,-,-,-,-,2943547888.0,4541.0,4704.247761332304,-163,10,good,1,727,10-10,NLOS
12,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1517.0,46163.0,-,2154.0,3300.0,3213.0,-,100.0,-91.202,-111.765,-,-,-,-,-,-,388587837.0,4485.0,4704.247761332304,-219,10,good,1,721,10-10,NLOS
13,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1516.0,47176.0,-,2982.0,3227.0,3946.0,-,88.0,-91.949,-109.071,-,-,-,-,-,-,896926015.0,4475.0,4704.247761332304,-229,10,good,1,737,10-10,NLOS
14,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1518.0,46458.0,-,2261.0,3647.0,2052.0,-,92.0,-91.14,-111.18,-,-,-,-,-,-,2871283749.0,4504.0,4704.247761332304,-200,10,good,1,725,10-10,NLOS
