,slot_ID_tag,model_tag,revision_tag,anchor_ID_tag,NPM_tag,RMoteclk_tag,Attenuation_tag,channel,bitrate,preamble,prf,distance_tag,txpower_tag,anchor_tag,antenna_delay_tag,fpindex_tag,ldethres_tag,rxtofs_tag,rxpower_tag,fppower_tag,ppampl_tag,ppindex_tag,rxpacc_tag,rxpacc_nosat_tag,fp_ampl1_tag,fp_ampl2_tag,fp_ampl3_tag,CIR_pwr_tag,CIR_noise_tag,rsmpdel_tag,rcphase_tag,DRX_CAR_INT_tag,OTP_temp_cal_tag,otp_temp_23_tag,sar_temp_l_tag,sar_bat_l_tag,pgdelaycount_tag,pgdelay_tag,LDE_RX_ANT_tag,RAWT1,RAWT4,RAWT5,T1,slot_ID_anchor,model_anchor,revision_anchor,anchor_ID_anchor,NPM_anchor,RMoteclk_anchor,Attenuation_anchor,distance_anchor,txpower_anchor,anchor_anchor,antenna_delay_anchor,fpindex_anchor,ldethres_anchor,rxtofs_anchor,rxpower_anchor,fppower_anchor,ppampl_anchor,ppindex_anchor,rxpacc_anchor,rxpacc_nosat_anchor,fp_ampl1_anchor,fp_ampl2_anchor,fp_ampl3_anchor,CIR_pwr_anchor,CIR_noise_anchor,rsmpdel_anchor,rcphase_anchor,DRX_CAR_INT_anchor,OTP_temp_cal_anchor,otp_temp_23_anchor,sar_temp_l_anchor,sar_bat_l_anchor,pgdelaycount_anchor,pgdelay_anchor,LDE_RX_ANT_anchor,RAWT2,RAWT3,RAWT6,T2,T3,T4,T5,T6,location_ID,loc_tag,fpi,tag_ID,anchor_ID,distance_UWB,distance_GT,error,NLOS
1,19248,3,0,3,"6d,",1044051,0,3,110,1024,64,,8b8b8b8b,,,747.704,1596,4.50554795152559e-06,-79.94800000000001,-81.873,49152,23046,291,1048,17442,18524,18109,49152,48,35,8,44122,255,128,126,177,0,16,8890,57055220224,70248538624,70601654784,57055236684,19031,3,0,3,"6d,",1046821,,10786,8b8b8b8b,1,16460,750.8960000000001,1572.0,-4.65573288324311e-06,-79.87899999999999,-81.726,38656.0,21510.0,288.0,1031.0,18066.0,18806.0,15606.0,11566.0,44.0,25.0,36.0,86511.0,255.0,124.0,123.0,166.0,272.0,16.0,37563,56459576320.0,69652765696,70005948416,56459561043,69652782156,70248523212,70601671244,70005933158,1,1-3,747,1,3,10786,10969.411424502228,-183.41142450222833,LOS
3,19250,3,0,3,"6d,",1044160,0,3,110,1024,64,,8b8b8b8b,,,745.584,1424,4.5656219242126e-06,-79.90100000000001,-81.777,18432,20229,267,1051,15902,16878,16291,18432,40,37,13,44208,255,128,126,177,0,16,7866,111588328960,124765225984,125134761472,111588345420,19033,3,0,3,"6d,",1046930,,10801,8b8b8b8b,1,16460,,,,,,,,,,,,,,,,,,,,,,,,110992433664,,124169201664,124538804224,110992418453,124169218124,124765210468,125134777932,124538788488,1,1-3,745,1,3,10801,10969.411424502228,-168.41142450222833,LOS
4,19251,3,0,3,"6d,",1044215,0,3,110,1024,64,,8b8b8b8b,,,748.8,1500,4.535584937869091e-06,-79.997,-82.899,12288,21253,269,1020,15693,17078,11315,12288,48,35,59,44263,255,128,126,177,0,16,19899,138854880256,152031843840,152401314816,138854896716,19034,3,0,3,"6d,",1046985,,10780,8b8b8b8b,1,16460,747.712,1432.0,-4.47551096518209e-06,-79.623,-81.217,55808.0,19205.0,270.0,1026.0,15518.0,17164.0,13655.0,9585.0,40.0,25.0,50.0,86486.0,255.0,124.0,123.0,166.0,272.0,16.0,40634,138258859520.0,151435694080,151805231616,138258844054,151435710540,152031828540,152401331276,151805216168,1,1-3,748,1,3,10780,10969.411424502228,-189.41142450222833,LOS
5,19252,3,0,3,"6d,",1044269,0,3,110,1024,64,,8b8b8b8b,,,744.52,1600,4.535584937869091e-06,-79.869,-81.51899999999999,7936,22534,279,1050,17418,18170,13887,7936,52,37,10,44111,255,128,126,177,0,16,2746,166121435136,179298268160,179667868160,166121451596,19035,3,0,3,"6d,",1047039,,10855,8b8b8b8b,1,16460,743.48,1424.0,-4.50554795152559e-06,-79.794,-81.381,57344.0,20741.0,271.0,1028.0,17016.0,16872.0,13457.0,10043.0,40.0,27.0,41.0,86615.0,255.0,124.0,123.0,166.0,272.0,16.0,30905,165525288960.0,178701992448,179071659520,165525273260,178702008908,179298252603,179667884620,179071643849,1,1-3,744,1,3,10855,10969.411424502228,-114.41142450222833,LOS
6,19253,3,0,3,"6d,",1044324,0,3,110,1024,64,,8b8b8b8b,,,748.768,1572,4.71580685593012e-06,-78.102,-80.003,4096,23558,272,1051,17251,17790,16244,4096,52,37,15,44319,255,128,126,177,0,16,25531,193387986432,206564886016,206934421504,193388002892,19036,3,0,3,"6d,",1047094,,10819,8b8b8b8b,1,16460,747.7439999999999,1408.0,-4.5656219242126e-06,-79.531,-82.734,59904.0,19973.0,270.0,1027.0,16771.0,15510.0,11140.0,9383.0,40.0,25.0,47.0,86622.0,255.0,124.0,123.0,166.0,272.0,16.0,33722,192791714304.0,205968484864,206338086912,192791698854,205968501324,206564870700,206934437964,206338071497,1,1-3,748,1,3,10819,10969.411424502228,-150.41142450222833,LOS
8,19255,3,0,3,"6d,",1044433,0,3,110,1024,64,,8b8b8b8b,,,747.7439999999999,1512,4.41543699249508e-06,-78.007,-82.8,63744,22533,272,1021,17693,16171,9539,63744,44,36,60,44136,255,128,126,177,0,16,7610,247921093120,261098123776,261467527680,247921109580,19038,3,0,3,"6d,",1047203,,10829,8b8b8b8b,1,16460,748.7760000000001,1444.0,-5.01617671936516e-06,-79.676,-81.421,6400.0,21509.0,268.0,1025.0,15751.0,16917.0,14533.0,9560.0,44.0,22.0,58.0,86495.0,255.0,124.0,123.0,166.0,272.0,16.0,34747,247324569600.0,260501471232,260870941696,247324554173,260501487692,261098108429,261467544140,260870926317,1,1-3,747,1,3,10829,10969.411424502228,-140.41142450222833,LOS
9,19256,3,0,3,"6d,",1044488,0,3,110,1024,64,,8b8b8b8b,,,743.48,1544,4.50554795152559e-06,-79.98,-81.408,58880,21510,268,1051,16504,17362,13013,58880,52,39,8,44335,255,128,126,177,0,16,30905,275187646464,288364548096,288734087168,275187662924,19039,3,0,3,"6d,",1047258,,10855,8b8b8b8b,1,16460,,,,,,,,,,,,,,,,,,,,,,,,274590997504,,287767769600,288137375744,274590981845,287767786060,288364532498,288734103628,288137360114,1,1-3,743,1,3,10855,10969.411424502228,-114.41142450222833,LOS
10,19257,3,0,3,"6d,",1044543,0,3,110,1024,64,,8b8b8b8b,,,747.7360000000001,1568,4.595658910556099e-06,-78.005,-81.428,59136,22022,267,1020,16561,17365,12858,59136,56,37,56,44271,255,128,126,177,0,16,45498,302454199808,315631165952,316000636416,302454216268,19040,3,0,3,"6d,",1047312,,10830,8b8b8b8b,1,16460,748.7760000000001,1404.0,-4.71580685593012e-06,-79.736,-81.268,7424.0,19205.0,271.0,1026.0,16765.0,16452.0,13570.0,9911.0,40.0,25.0,51.0,86552.0,255.0,124.0,123.0,166.0,272.0,16.0,32187,301857424896.0,315034262016,315403799040,301857409497,315034278476,315631150595,316000652876,315403783671,1,1-3,747,1,3,10830,10969.411424502228,-139.41142450222833,LOS
12,19259,3,0,3,"6d,",1044652,0,3,110,1024,64,,8b8b8b8b,,,747.704,1516,4.41543699249508e-06,-79.931,-81.633,54528,20741,280,1051,17432,17728,15372,54528,44,36,15,44152,255,128,126,177,0,16,6330,356987305984,370164210176,370533741056,356987322444,19042,3,0,3,"6d,",1047422,,10799,8b8b8b8b,1,16460,748.808,1428.0,-4.32532603346457e-06,-79.863,-81.211,12032.0,18949.0,269.0,1027.0,17015.0,17123.0,11529.0,10054.0,40.0,26.0,46.0,86495.0,255.0,124.0,123.0,166.0,272.0,16.0,30651,356390279680.0,369567054848,369936652288,356390264307,369567071308,370164194793,370533757516,369936636931,1,1-3,747,1,3,10799,10969.411424502228,-170.41142450222833,LOS
14,19261,3,0,3,"6d,",1044761,0,3,110,1024,64,,8b8b8b8b,,,746.672,1588,4.26525206077756e-06,-79.969,-82.971,46592,22790,275,1050,17978,16671,10320,46592,52,36,12,44265,255,128,126,177,0,16,15034,411520414720,424697254400,425066847232,411520431180,19044,3,0,3,"6d,",1047531,,10819,8b8b8b8b,1,16460,749.84,1460.0,-4.5656219242126e-06,-79.852,-81.736,22528.0,19717.0,267.0,1028.0,16511.0,17490.0,14731.0,9879.0,40.0,22.0,51.0,86390.0,255.0,124.0,123.0,166.0,272.0,16.0,32699,410923137024.0,424099847680,424469507072,410923121660,424099864140,424697238986,425066863692,424469491755,1,1-3,746,1,3,10819,10969.411424502228,-150.41142450222833,LOS
