,real_rng,rng,rssi,fp_idx,fp_power,fp_amp1,fp_amp2,fp_amp3,std_noise,pacc_cnt,condition,location_from,location_to,msid,bias,rng_wo_bias,error,error_nobias,env
1,6.269,8.045,-80.136,743,-93.968,1404,1657,1179,36,101,nlos,hw,hw,0,0.012051091666075209,8.032948908333925,1.7639489083339246,1.7759999999999998,hwhw
2,6.269,8.006,-80.202,747,-94.004,1467,1683,1035,40,101,nlos,hw,hw,0,0.011671137658527009,7.994328862341473,1.725328862341473,1.737,hwhw
3,6.269,7.945,-80.082,751,-93.533,1068,1721,1627,40,101,nlos,hw,hw,0,0.011072209019093116,7.933927790980907,1.664927790980907,1.6760000000000002,hwhw
6,6.269,7.983,-80.048,745,-94.382,1255,1534,1274,40,101,nlos,hw,hw,0,0.01144597995096408,7.971554020049036,1.7025540200490354,1.7139999999999995,hwhw
10,6.269,7.889,-80.797,748,-100.093,650,849,589,40,101,nlos,hw,hw,0,0.01051733415133782,7.878482665848662,1.6094826658486623,1.62,hwhw
11,6.269,7.939,-80.277,750,-95.125,676,1136,1712,52,101,nlos,hw,hw,0,0.01101298990581423,7.927987010094186,1.6589870100941857,1.67,hwhw
14,6.269,8.371,-80.07,747,-94.391,393,1233,1966,44,101,nlos,hw,hw,0,0.01513912907239856,8.355860870927602,2.0868608709276018,2.1020000000000003,hwhw
27,6.269,7.937,-80.182,744,-93.835,1380,1676,1258,44,101,nlos,hw,hw,0,0.010993237881026019,7.926006762118974,1.6570067621189741,1.6680000000000001,hwhw
28,6.269,7.926,-80.07,749,-95.383,829,1519,1189,48,101,nlos,hw,hw,0,0.010884491488668324,7.915115508511332,1.6461155085113317,1.657,hwhw
29,6.269,7.856,-80.293,745,-94.251,1760,1360,880,48,101,nlos,hw,hw,0,0.010188072421141392,7.8458119275788585,1.5768119275788584,1.5869999999999997,hwhw
30,6.269,7.922,-80.21,743,-97.745,676,1197,818,44,101,nlos,hw,hw,0,0.010844901031048515,7.911155098968951,1.642155098968951,1.6529999999999996,hwhw
31,6.269,7.879,-80.269,746,-99.304,453,945,830,40,101,nlos,hw,hw,0,0.010417737375101765,7.868582262624898,1.5995822626248977,1.6099999999999994,hwhw
34,6.269,7.983,-80.317,750,-96.397,852,1317,1015,40,101,nlos,hw,hw,0,0.01144597995096408,7.971554020049036,1.7025540200490354,1.7139999999999995,hwhw
36,6.269,7.987,-80.337,747,-95.66,1215,1309,973,40,101,nlos,hw,hw,0,0.011485195720890573,7.9755148042791095,1.7065148042791094,1.718,hwhw
37,6.269,8.006,-80.074,750,-95.426,1072,1519,953,44,101,nlos,hw,hw,0,0.011671137658527009,7.994328862341473,1.725328862341473,1.737,hwhw
39,6.269,7.974,-80.806,749,-97.635,419,1001,1203,40,101,nlos,hw,hw,0,0.011357655127166133,7.962642344872834,1.693642344872834,1.705,hwhw
41,6.269,8.054,-80.174,743,-95.848,1005,1408,984,44,101,nlos,hw,hw,0,0.012138447066754487,8.041861552933245,1.7728615529332448,1.7850000000000001,hwhw
43,6.269,7.856,-80.365,743,-95.791,1458,1153,747,36,101,nlos,hw,hw,0,0.010188072421141392,7.8458119275788585,1.5768119275788584,1.5869999999999997,hwhw
46,6.269,8.015,-79.724,747,-98.422,749,1049,727,40,101,nlos,hw,hw,0,0.011759023825252513,8.003240976174748,1.734240976174748,1.7460000000000004,hwhw
47,6.269,7.898,-80.143,746,-95.732,888,1408,1139,40,101,nlos,hw,hw,0,0.010606838174696875,7.887393161825303,1.6183931618253027,1.6289999999999996,hwhw
48,6.269,7.903,-80.447,747,-95.362,1186,1445,967,44,101,nlos,hw,hw,0,0.010656508246240648,7.892343491753759,1.6233434917537588,1.6339999999999995,hwhw
100,2.707,2.545,-79.895,751,-82.755,5532,6158,3494,40,101,los,3edvl,3edvl,2,-0.07672064659289735,2.6217206465928973,-0.08527935340710258,-0.16199999999999992,3edvl3edvl
105,2.707,2.618,-79.501,751,-84.564,1641,5535,4462,40,101,los,3edvl,3edvl,2,-0.07489525729190127,2.692895257291901,-0.014104742708098694,-0.08899999999999997,3edvl3edvl
106,2.707,2.618,-79.734,745,-84.175,3544,5323,4162,48,101,los,3edvl,3edvl,2,-0.07489525729190127,2.692895257291901,-0.014104742708098694,-0.08899999999999997,3edvl3edvl
109,2.707,2.62,-79.672,748,-84.575,4498,4985,2831,48,101,los,3edvl,3edvl,2,-0.0748454883609444,2.6948454883609445,-0.012154511639055343,-0.08699999999999974,3edvl3edvl
112,2.707,2.624,-79.819,746,-84.966,1981,4969,4462,44,101,los,3edvl,3edvl,2,-0.07474599014914052,2.6987459901491406,-0.008254009850859223,-0.08299999999999974,3edvl3edvl
113,2.707,2.634,-79.738,747,-85.039,1143,4746,4888,44,101,los,3edvl,3edvl,2,-0.07449747698698506,2.708497476986985,0.0014974769869851023,-0.07299999999999995,3edvl3edvl
114,2.707,2.634,-79.921,747,-85.606,1571,4497,4380,40,101,los,3edvl,3edvl,2,-0.07449747698698506,2.708497476986985,0.0014974769869851023,-0.07299999999999995,3edvl3edvl
